date;salesAmount;promotionYes;bridgeDayYes;publicHolidayYes;seasonCode;seasonName;calendarWeek;newSnowCode;newSnowDescription;rainCode;rainDescription;sunshineCode;sunShineDescription;temperaturCode;temperatureDescription;shopsClosedYes;weekdayCode;weekDayDescription
2012-12-09;763;0;0;0;4;Winter;49;2;mehr als 1 cm Schnee;4;feuchter als Mittel;1;viel weniger als Mittel;1;viel kaelter als Mittel;1;1;Sonntag
2012-12-10;5641;0;0;0;4;Winter;50;2;mehr als 1 cm Schnee;5;viel feuchter als Mittel;3;Mittel;3;Mittel;0;2;Montag
2012-12-11;12329;0;0;0;4;Winter;50;2;mehr als 1 cm Schnee;4;feuchter als Mittel;3;Mittel;1;viel kaelter als Mittel;0;3;Dienstag
2012-12-12;11730;0;0;0;4;Winter;50;2;mehr als 1 cm Schnee;1;viel trockener als Mittel;5;viel mehr als Mittel;1;viel kaelter als Mittel;0;4;Mittwoch
2012-12-13;10619;0;0;0;4;Winter;50;2;mehr als 1 cm Schnee;1;viel trockener als Mittel;3;Mittel;1;viel kaelter als Mittel;0;5;Donnerstag
2012-12-14;13915;0;0;0;4;Winter;50;2;mehr als 1 cm Schnee;4;feuchter als Mittel;3;Mittel;2;kaelter als Mittel;0;6;Freitag
2012-12-15;16041;0;0;0;4;Winter;50;2;mehr als 1 cm Schnee;5;viel feuchter als Mittel;3;Mittel;4;waermer als Mittel;0;7;Samstag
2012-12-16;1767;0;0;0;4;Winter;50;1;weniger als 1 cm Schnee;5;viel feuchter als Mittel;3;Mittel;5;viel waermer als Mittel;1;1;Sonntag
2012-12-17;9577;0;0;0;4;Winter;51;0;kein Schnee;5;viel feuchter als Mittel;2;weniger als Mittel;5;viel waermer als Mittel;0;2;Montag
2012-12-18;5361;0;0;0;4;Winter;51;1;weniger als 1 cm Schnee;5;viel feuchter als Mittel;1;viel weniger als Mittel;4;waermer als Mittel;0;3;Dienstag
2012-12-19;5449;0;0;0;4;Winter;51;0;kein Schnee;4;feuchter als Mittel;4;mehr als Mittel;3;Mittel;0;4;Mittwoch
2012-12-20;5796;0;0;0;4;Winter;51;2;mehr als 1 cm Schnee;5;viel feuchter als Mittel;1;viel weniger als Mittel;2;kaelter als Mittel;0;5;Donnerstag
2012-12-21;9270;0;0;0;4;Winter;51;0;kein Schnee;4;feuchter als Mittel;3;Mittel;5;viel waermer als Mittel;0;6;Freitag
2012-12-22;11509;0;0;0;4;Winter;51;0;kein Schnee;5;viel feuchter als Mittel;2;weniger als Mittel;4;waermer als Mittel;0;7;Samstag
2012-12-23;4218;0;0;0;4;Winter;51;0;kein Schnee;5;viel feuchter als Mittel;1;viel weniger als Mittel;5;viel waermer als Mittel;1;1;Sonntag
2012-12-24;9415;0;0;1;4;Winter;52;0;kein Schnee;1;viel trockener als Mittel;4;mehr als Mittel;5;viel waermer als Mittel;1;2;Montag
2012-12-25;467;0;0;1;4;Winter;52;0;kein Schnee;5;viel feuchter als Mittel;4;mehr als Mittel;5;viel waermer als Mittel;1;3;Dienstag
2012-12-26;1013;0;0;1;4;Winter;52;0;kein Schnee;5;viel feuchter als Mittel;4;mehr als Mittel;5;viel waermer als Mittel;1;4;Mittwoch
2012-12-27;11181;0;0;0;4;Winter;52;0;kein Schnee;5;viel feuchter als Mittel;2;weniger als Mittel;5;viel waermer als Mittel;0;5;Donnerstag
2012-12-28;12367;0;0;0;4;Winter;52;0;kein Schnee;4;feuchter als Mittel;3;Mittel;5;viel waermer als Mittel;0;6;Freitag
2012-12-29;14774;0;0;0;4;Winter;52;0;kein Schnee;1;viel trockener als Mittel;5;viel mehr als Mittel;4;waermer als Mittel;0;7;Samstag
2012-12-30;1381;0;0;0;4;Winter;52;0;kein Schnee;1;viel trockener als Mittel;4;mehr als Mittel;5;viel waermer als Mittel;1;1;Sonntag
2012-12-31;16911;0;0;1;4;Winter;1;0;kein Schnee;1;viel trockener als Mittel;5;viel mehr als Mittel;3;Mittel;1;2;Montag
2013-01-01;484;0;0;1;4;Winter;1;0;kein Schnee;4;feuchter als Mittel;1;viel weniger als Mittel;4;waermer als Mittel;1;3;Dienstag
2013-01-02;3528;0;0;0;4;Winter;1;0;kein Schnee;1;viel trockener als Mittel;5;viel mehr als Mittel;3;Mittel;0;4;Mittwoch
2013-01-03;5472;0;0;0;4;Winter;1;0;kein Schnee;3;Mittel;4;mehr als Mittel;2;kaelter als Mittel;0;5;Donnerstag
2013-01-04;6778;0;0;0;4;Winter;1;0;kein Schnee;1;viel trockener als Mittel;1;viel weniger als Mittel;5;viel waermer als Mittel;0;6;Freitag
2013-01-05;8335;0;0;0;4;Winter;1;0;kein Schnee;1;viel trockener als Mittel;1;viel weniger als Mittel;5;viel waermer als Mittel;0;7;Samstag
2013-01-06;942;0;0;0;4;Winter;1;0;kein Schnee;1;viel trockener als Mittel;1;viel weniger als Mittel;4;waermer als Mittel;1;1;Sonntag
2013-01-07;4478;0;0;0;4;Winter;2;0;kein Schnee;1;viel trockener als Mittel;1;viel weniger als Mittel;4;waermer als Mittel;0;2;Montag
2013-01-08;4579;0;0;0;4;Winter;2;0;kein Schnee;1;viel trockener als Mittel;5;viel mehr als Mittel;3;Mittel;0;3;Dienstag
2013-01-09;5081;0;0;0;4;Winter;2;0;kein Schnee;1;viel trockener als Mittel;1;viel weniger als Mittel;2;kaelter als Mittel;0;4;Mittwoch
2013-01-10;5856;0;0;0;4;Winter;2;0;kein Schnee;5;viel feuchter als Mittel;1;viel weniger als Mittel;3;Mittel;0;5;Donnerstag
2013-01-11;8195;0;0;0;4;Winter;2;0;kein Schnee;5;viel feuchter als Mittel;1;viel weniger als Mittel;3;Mittel;0;6;Freitag
2013-01-12;8862;0;0;0;4;Winter;2;0;kein Schnee;1;viel trockener als Mittel;5;viel mehr als Mittel;3;Mittel;0;7;Samstag
2013-01-13;961;0;0;0;4;Winter;2;1;weniger als 1 cm Schnee;3;Mittel;1;viel weniger als Mittel;2;kaelter als Mittel;1;1;Sonntag
2013-01-14;4224;0;0;0;4;Winter;3;0;kein Schnee;1;viel trockener als Mittel;1;viel weniger als Mittel;2;kaelter als Mittel;0;2;Montag
2013-01-15;4707;0;0;0;4;Winter;3;1;weniger als 1 cm Schnee;3;Mittel;3;Mittel;1;viel kaelter als Mittel;0;3;Dienstag
2013-01-16;5074;0;0;0;4;Winter;3;2;mehr als 1 cm Schnee;1;viel trockener als Mittel;3;Mittel;1;viel kaelter als Mittel;0;4;Mittwoch
2013-01-17;4992;0;0;0;4;Winter;3;2;mehr als 1 cm Schnee;4;feuchter als Mittel;1;viel weniger als Mittel;1;viel kaelter als Mittel;0;5;Donnerstag
2013-01-18;7642;0;0;0;4;Winter;3;2;mehr als 1 cm Schnee;1;viel trockener als Mittel;5;viel mehr als Mittel;1;viel kaelter als Mittel;0;6;Freitag
2013-01-19;9076;0;0;0;4;Winter;3;2;mehr als 1 cm Schnee;4;feuchter als Mittel;1;viel weniger als Mittel;1;viel kaelter als Mittel;0;7;Samstag
2013-01-20;948;0;0;0;4;Winter;3;2;mehr als 1 cm Schnee;1;viel trockener als Mittel;1;viel weniger als Mittel;1;viel kaelter als Mittel;1;1;Sonntag
